formula	comparison	target	gated_rank	comparator_rank	signed_displacement	absolute_displacement	shared_top10
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	TDP1	40	40	0	0	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	TRPA1	39	39	0	0	False
六味地黄丸	evidence_gated_vs_ungated_union	AKT1	5	4	-1	1	True
六味地黄丸	evidence_gated_vs_ungated_union	ASB1	6	5	-1	1	True
六味地黄丸	evidence_gated_vs_ungated_union	BMP2	7	6	-1	1	True
六味地黄丸	evidence_gated_vs_ungated_union	BMP4	8	7	-1	1	True
六味地黄丸	evidence_gated_vs_ungated_union	C3	9	8	-1	1	True
六味地黄丸	evidence_gated_vs_ungated_union	CCL2	10	9	-1	1	True
六味地黄丸	evidence_gated_vs_ungated_union	CES2	3	47	44	44	False
六味地黄丸	evidence_gated_vs_ungated_union	CLCF1	11	10	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	CTNNB1	12	11	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	CXCL8	13	12	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	DUSP6	14	13	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	EGF	15	14	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	ESR1	16	15	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	FABP4	17	16	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	FOS	18	17	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	HGF	19	18	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	HOXA13	20	19	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	IGF1	4	3	-1	1	True
六味地黄丸	evidence_gated_vs_ungated_union	IL10	21	20	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	IL1B	22	21	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	IL6	23	22	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	INS	24	23	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	JAK2	25	24	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	JUN	26	25	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	KDM7A	27	26	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	KY	28	27	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	LEP	29	28	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	LPL	30	29	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	MAPK1	31	30	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	MAPK3	32	31	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	MMP9	33	32	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	NCOA3	34	33	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	NR1H4	2	2	0	0	True
六味地黄丸	evidence_gated_vs_ungated_union	PELI2	35	34	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	PPARG	36	35	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	PRKCB	37	36	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	PROK2	38	37	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	PTGS2	39	38	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	RUNX2	40	39	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	SMAD2	41	40	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	SMAD3	42	41	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	SPP1	43	42	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	STAT3	1	1	0	0	True
六味地黄丸	evidence_gated_vs_ungated_union	STX7	44	43	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	TCF4	45	44	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	TNF	46	45	-1	1	False
六味地黄丸	evidence_gated_vs_ungated_union	TP53	47	46	-1	1	False
六味地黄丸	evidence_gated_vs_cutoff_chembl_measured_only	CES2	3	3	0	0	True
六味地黄丸	evidence_gated_vs_cutoff_chembl_measured_only	NR1H4	2	2	0	0	True
六味地黄丸	evidence_gated_vs_cutoff_chembl_measured_only	STAT3	1	1	0	0	True
逍遥散	evidence_gated_vs_ungated_union	ABCA1	53	52	-1	1	False
逍遥散	evidence_gated_vs_ungated_union	ACSL4	61	61	0	0	False
逍遥散	evidence_gated_vs_ungated_union	AKR1B1	15	17	2	2	False
逍遥散	evidence_gated_vs_ungated_union	AKT1	62	62	0	0	False
逍遥散	evidence_gated_vs_ungated_union	APP	40	43	3	3	False
逍遥散	evidence_gated_vs_ungated_union	AR	63	63	0	0	False
逍遥散	evidence_gated_vs_ungated_union	ARC	54	53	-1	1	False
逍遥散	evidence_gated_vs_ungated_union	BACE1	43	48	5	5	False
逍遥散	evidence_gated_vs_ungated_union	BDNF	48	20	-28	28	False
逍遥散	evidence_gated_vs_ungated_union	CA1	3	3	0	0	True
逍遥散	evidence_gated_vs_ungated_union	CA12	30	35	5	5	False
逍遥散	evidence_gated_vs_ungated_union	CA14	28	33	5	5	False
逍遥散	evidence_gated_vs_ungated_union	CA2	19	22	3	3	False
逍遥散	evidence_gated_vs_ungated_union	CA3	31	13	-18	18	False
逍遥散	evidence_gated_vs_ungated_union	CA4	34	37	3	3	False
逍遥散	evidence_gated_vs_ungated_union	CA5A	25	29	4	4	False
逍遥散	evidence_gated_vs_ungated_union	CA5B	33	36	3	3	False
逍遥散	evidence_gated_vs_ungated_union	CA6	27	32	5	5	False
逍遥散	evidence_gated_vs_ungated_union	CA7	26	30	4	4	False
逍遥散	evidence_gated_vs_ungated_union	CA9	29	34	5	5	False
逍遥散	evidence_gated_vs_ungated_union	CD36	64	64	0	0	False
逍遥散	evidence_gated_vs_ungated_union	CDK6	65	65	0	0	False
逍遥散	evidence_gated_vs_ungated_union	CEBPA	66	66	0	0	False
逍遥散	evidence_gated_vs_ungated_union	CHRNA7	36	39	3	3	False
逍遥散	evidence_gated_vs_ungated_union	CNP	67	67	0	0	False
逍遥散	evidence_gated_vs_ungated_union	CORT	49	25	-24	24	False
逍遥散	evidence_gated_vs_ungated_union	CRH	68	68	0	0	False
逍遥散	evidence_gated_vs_ungated_union	CRHR2	69	69	0	0	False
逍遥散	evidence_gated_vs_ungated_union	CSF1	70	70	0	0	False
逍遥散	evidence_gated_vs_ungated_union	CYP19A1	1	2	1	1	True
逍遥散	evidence_gated_vs_ungated_union	CYP1A2	39	42	3	3	False
逍遥散	evidence_gated_vs_ungated_union	CYP1B1	22	26	4	4	False
逍遥散	evidence_gated_vs_ungated_union	CYP2B6	45	50	5	5	False
逍遥散	evidence_gated_vs_ungated_union	CYP2C19	35	38	3	3	False
逍遥散	evidence_gated_vs_ungated_union	CYP2C9	38	41	3	3	False
逍遥散	evidence_gated_vs_ungated_union	CYP3A4	41	46	5	5	False
逍遥散	evidence_gated_vs_ungated_union	DCX	71	71	0	0	False
逍遥散	evidence_gated_vs_ungated_union	DRD2	72	72	0	0	False
逍遥散	evidence_gated_vs_ungated_union	EGFR	73	73	0	0	False
逍遥散	evidence_gated_vs_ungated_union	ESR1	18	21	3	3	False
逍遥散	evidence_gated_vs_ungated_union	ESR2	13	14	1	1	False
逍遥散	evidence_gated_vs_ungated_union	FADD	74	74	0	0	False
逍遥散	evidence_gated_vs_ungated_union	FTH1	75	75	0	0	False
逍遥散	evidence_gated_vs_ungated_union	GABRA1	76	76	0	0	False
逍遥散	evidence_gated_vs_ungated_union	GDNF	77	77	0	0	False
逍遥散	evidence_gated_vs_ungated_union	GFAP	50	31	-19	19	False
逍遥散	evidence_gated_vs_ungated_union	GPX4	78	78	0	0	False
逍遥散	evidence_gated_vs_ungated_union	HDAC6	14	16	2	2	False
逍遥散	evidence_gated_vs_ungated_union	HMGB1	47	60	13	13	False
逍遥散	evidence_gated_vs_ungated_union	HSD11B1	4	1	-3	3	True
逍遥散	evidence_gated_vs_ungated_union	HSD11B2	6	4	-2	2	True
逍遥散	evidence_gated_vs_ungated_union	HSD17B1	20	23	3	3	False
逍遥散	evidence_gated_vs_ungated_union	HSD17B2	16	18	2	2	False
逍遥散	evidence_gated_vs_ungated_union	IL2	24	28	4	4	False
逍遥散	evidence_gated_vs_ungated_union	IL6	79	79	0	0	False
逍遥散	evidence_gated_vs_ungated_union	IL7R	80	80	0	0	False
逍遥散	evidence_gated_vs_ungated_union	IRAK1	81	81	0	0	False
逍遥散	evidence_gated_vs_ungated_union	JAK2	82	82	0	0	False
逍遥散	evidence_gated_vs_ungated_union	JUN	83	83	0	0	False
逍遥散	evidence_gated_vs_ungated_union	KMO	84	84	0	0	False
逍遥散	evidence_gated_vs_ungated_union	MAOA	42	47	5	5	False
逍遥散	evidence_gated_vs_ungated_union	MAOB	5	11	6	6	False
逍遥散	evidence_gated_vs_ungated_union	MAP2	85	85	0	0	False
逍遥散	evidence_gated_vs_ungated_union	MAPK1	86	86	0	0	False
逍遥散	evidence_gated_vs_ungated_union	MC4R	87	87	0	0	False
逍遥散	evidence_gated_vs_ungated_union	MLKL	88	88	0	0	False
逍遥散	evidence_gated_vs_ungated_union	MMP1	11	10	-1	1	False
逍遥散	evidence_gated_vs_ungated_union	MMP13	10	9	-1	1	True
逍遥散	evidence_gated_vs_ungated_union	MMP2	8	5	-3	3	True
逍遥散	evidence_gated_vs_ungated_union	MMP3	12	12	0	0	False
逍遥散	evidence_gated_vs_ungated_union	MMP7	7	6	-1	1	True
逍遥散	evidence_gated_vs_ungated_union	MMP9	9	7	-2	2	True
逍遥散	evidence_gated_vs_ungated_union	NGF	89	89	0	0	False
逍遥散	evidence_gated_vs_ungated_union	NLRP3	2	8	6	6	True
逍遥散	evidence_gated_vs_ungated_union	NPY	90	90	0	0	False
逍遥散	evidence_gated_vs_ungated_union	NR3C1	91	91	0	0	False
逍遥散	evidence_gated_vs_ungated_union	NSF	55	54	-1	1	False
逍遥散	evidence_gated_vs_ungated_union	P4HB	44	49	5	5	False
逍遥散	evidence_gated_vs_ungated_union	PEBP1	92	92	0	0	False
逍遥散	evidence_gated_vs_ungated_union	PICK1	56	55	-1	1	False
逍遥散	evidence_gated_vs_ungated_union	PKM	37	40	3	3	False
逍遥散	evidence_gated_vs_ungated_union	POMC	57	56	-1	1	False
逍遥散	evidence_gated_vs_ungated_union	PSD	93	93	0	0	False
逍遥散	evidence_gated_vs_ungated_union	PSMB5	23	27	4	4	False
逍遥散	evidence_gated_vs_ungated_union	PTEN	94	94	0	0	False
逍遥散	evidence_gated_vs_ungated_union	RIPK1	95	95	0	0	False
逍遥散	evidence_gated_vs_ungated_union	RIPK3	96	96	0	0	False
逍遥散	evidence_gated_vs_ungated_union	SNCA	17	19	2	2	False
逍遥散	evidence_gated_vs_ungated_union	STAT3	51	44	-7	7	False
逍遥散	evidence_gated_vs_ungated_union	SYP	58	57	-1	1	False
逍遥散	evidence_gated_vs_ungated_union	TDP1	46	51	5	5	False
逍遥散	evidence_gated_vs_ungated_union	TLR4	59	58	-1	1	False
逍遥散	evidence_gated_vs_ungated_union	TNF	52	45	-7	7	False
逍遥散	evidence_gated_vs_ungated_union	TP53	60	59	-1	1	False
逍遥散	evidence_gated_vs_ungated_union	TRAF6	97	97	0	0	False
逍遥散	evidence_gated_vs_ungated_union	TRPA1	32	15	-17	17	False
逍遥散	evidence_gated_vs_ungated_union	TRPM8	21	24	3	3	False
逍遥散	evidence_gated_vs_ungated_union	VEGFA	98	98	0	0	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	AKR1B1	15	11	-4	4	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	APP	40	39	-1	1	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	BACE1	43	43	0	0	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	CA1	3	19	16	16	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	CA12	30	30	0	0	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	CA14	28	28	0	0	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	CA2	19	17	-2	2	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	CA3	31	33	2	2	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	CA4	34	32	-2	2	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	CA5A	25	24	-1	1	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	CA5B	33	31	-2	2	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	CA6	27	27	0	0	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	CA7	26	26	0	0	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	CA9	29	29	0	0	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	CHRNA7	36	35	-1	1	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	CYP19A1	1	15	14	14	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	CYP1A2	39	38	-1	1	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	CYP1B1	22	21	-1	1	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	CYP2B6	45	45	0	0	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	CYP2C19	35	34	-1	1	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	CYP2C9	38	37	-1	1	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	CYP3A4	41	40	-1	1	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	ESR1	18	16	-2	2	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	ESR2	13	9	-4	4	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	HDAC6	14	10	-4	4	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	HMGB1	47	47	0	0	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	HSD11B1	4	2	-2	2	True
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	HSD11B2	6	1	-5	5	True
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	HSD17B1	20	18	-2	2	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	HSD17B2	16	12	-4	4	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	IL2	24	23	-1	1	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	MAOA	42	42	0	0	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	MAOB	5	25	20	20	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	MMP1	11	7	-4	4	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	MMP13	10	6	-4	4	True
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	MMP2	8	4	-4	4	True
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	MMP3	12	8	-4	4	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	MMP7	7	3	-4	4	True
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	MMP9	9	5	-4	4	True
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	NLRP3	2	14	12	12	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	P4HB	44	44	0	0	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	PKM	37	36	-1	1	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	PSMB5	23	22	-1	1	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	SNCA	17	13	-4	4	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	TDP1	46	46	0	0	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	TRPA1	32	41	9	9	False
逍遥散	evidence_gated_vs_cutoff_chembl_measured_only	TRPM8	21	20	-1	1	False
补中益气汤	evidence_gated_vs_ungated_union	ABCB1	32	15	-17	17	False
补中益气汤	evidence_gated_vs_ungated_union	ABCG2	6	12	6	6	False
补中益气汤	evidence_gated_vs_ungated_union	AKR1B1	17	18	1	1	False
补中益气汤	evidence_gated_vs_ungated_union	APP	38	45	7	7	False
补中益气汤	evidence_gated_vs_ungated_union	BACE1	40	47	7	7	False
补中益气汤	evidence_gated_vs_ungated_union	CA1	23	31	8	8	False
补中益气汤	evidence_gated_vs_ungated_union	CA12	31	39	8	8	False
补中益气汤	evidence_gated_vs_ungated_union	CA14	29	37	8	8	False
补中益气汤	evidence_gated_vs_ungated_union	CA2	21	29	8	8	False
补中益气汤	evidence_gated_vs_ungated_union	CA3	35	42	7	7	False
补中益气汤	evidence_gated_vs_ungated_union	CA4	34	41	7	7	False
补中益气汤	evidence_gated_vs_ungated_union	CA5A	26	34	8	8	False
补中益气汤	evidence_gated_vs_ungated_union	CA5B	33	40	7	7	False
补中益气汤	evidence_gated_vs_ungated_union	CA6	28	36	8	8	False
补中益气汤	evidence_gated_vs_ungated_union	CA7	27	35	8	8	False
补中益气汤	evidence_gated_vs_ungated_union	CA9	30	38	8	8	False
补中益气汤	evidence_gated_vs_ungated_union	CALM1	44	51	7	7	False
补中益气汤	evidence_gated_vs_ungated_union	CD28	47	21	-26	26	False
补中益气汤	evidence_gated_vs_ungated_union	CHRNA7	36	43	7	7	False
补中益气汤	evidence_gated_vs_ungated_union	CYP19A1	5	11	6	6	False
补中益气汤	evidence_gated_vs_ungated_union	CYP1B1	24	32	8	8	False
补中益气汤	evidence_gated_vs_ungated_union	EPO	48	22	-26	26	False
补中益气汤	evidence_gated_vs_ungated_union	EPOR	49	23	-26	26	False
补中益气汤	evidence_gated_vs_ungated_union	ESR1	1	2	1	1	True
补中益气汤	evidence_gated_vs_ungated_union	ESR2	15	16	1	1	False
补中益气汤	evidence_gated_vs_ungated_union	GSK3B	46	53	7	7	False
补中益气汤	evidence_gated_vs_ungated_union	HDAC6	16	17	1	1	False
补中益气汤	evidence_gated_vs_ungated_union	HMGB1	45	52	7	7	False
补中益气汤	evidence_gated_vs_ungated_union	HSD11B1	2	1	-1	1	True
补中益气汤	evidence_gated_vs_ungated_union	HSD11B2	8	5	-3	3	True
补中益气汤	evidence_gated_vs_ungated_union	HSD17B1	22	30	8	8	False
补中益气汤	evidence_gated_vs_ungated_union	HSD17B2	18	19	1	1	False
补中益气汤	evidence_gated_vs_ungated_union	IL2	3	3	0	0	True
补中益气汤	evidence_gated_vs_ungated_union	KDM1A	37	44	7	7	False
补中益气汤	evidence_gated_vs_ungated_union	MAOA	39	46	7	7	False
补中益气汤	evidence_gated_vs_ungated_union	MAOB	7	13	6	6	False
补中益气汤	evidence_gated_vs_ungated_union	MMP1	13	10	-3	3	False
补中益气汤	evidence_gated_vs_ungated_union	MMP13	12	9	-3	3	False
补中益气汤	evidence_gated_vs_ungated_union	MMP2	10	6	-4	4	True
补中益气汤	evidence_gated_vs_ungated_union	MMP3	14	14	0	0	False
补中益气汤	evidence_gated_vs_ungated_union	MMP7	9	7	-2	2	True
补中益气汤	evidence_gated_vs_ungated_union	MMP9	11	8	-3	3	False
补中益气汤	evidence_gated_vs_ungated_union	NLRP3	20	28	8	8	False
补中益气汤	evidence_gated_vs_ungated_union	NR3C1	50	24	-26	26	False
补中益气汤	evidence_gated_vs_ungated_union	P4HB	41	48	7	7	False
补中益气汤	evidence_gated_vs_ungated_union	PKM	4	4	0	0	True
补中益气汤	evidence_gated_vs_ungated_union	PSMB5	25	33	8	8	False
补中益气汤	evidence_gated_vs_ungated_union	PTGS2	51	25	-26	26	False
补中益气汤	evidence_gated_vs_ungated_union	SNCA	19	20	1	1	False
补中益气汤	evidence_gated_vs_ungated_union	TDP1	43	50	7	7	False
补中益气汤	evidence_gated_vs_ungated_union	TP53	52	26	-26	26	False
补中益气汤	evidence_gated_vs_ungated_union	TPO	53	27	-26	26	False
补中益气汤	evidence_gated_vs_ungated_union	TRPA1	42	49	7	7	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	ABCB1	32	35	3	3	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	ABCG2	6	23	17	17	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	AKR1B1	17	12	-5	5	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	APP	38	38	0	0	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	BACE1	40	40	0	0	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	CA1	23	21	-2	2	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	CA12	31	31	0	0	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	CA14	29	29	0	0	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	CA2	21	19	-2	2	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	CA3	35	34	-1	1	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	CA4	34	33	-1	1	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	CA5A	26	25	-1	1	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	CA5B	33	32	-1	1	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	CA6	28	28	0	0	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	CA7	27	27	0	0	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	CA9	30	30	0	0	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	CALM1	44	44	0	0	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	CHRNA7	36	36	0	0	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	CYP19A1	5	17	12	12	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	CYP1B1	24	22	-2	2	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	ESR1	1	18	17	17	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	ESR2	15	10	-5	5	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	GSK3B	46	46	0	0	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	HDAC6	16	11	-5	5	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	HMGB1	45	45	0	0	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	HSD11B1	2	2	0	0	True
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	HSD11B2	8	1	-7	7	True
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	HSD17B1	22	20	-2	2	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	HSD17B2	18	13	-5	5	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	IL2	3	9	6	6	True
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	KDM1A	37	37	0	0	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	MAOA	39	39	0	0	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	MAOB	7	26	19	19	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP1	13	7	-6	6	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP13	12	6	-6	6	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP2	10	4	-6	6	True
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP3	14	8	-6	6	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP7	9	3	-6	6	True
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP9	11	5	-6	6	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	NLRP3	20	16	-4	4	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	P4HB	41	41	0	0	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	PKM	4	15	11	11	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	PSMB5	25	24	-1	1	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	SNCA	19	14	-5	5	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	TDP1	43	43	0	0	False
补中益气汤	evidence_gated_vs_cutoff_chembl_measured_only	TRPA1	42	42	0	0	False
桂枝汤	evidence_gated_vs_ungated_union	ADCY5	54	54	0	0	False
桂枝汤	evidence_gated_vs_ungated_union	AHCY	55	55	0	0	False
桂枝汤	evidence_gated_vs_ungated_union	AKR1B1	4	2	-2	2	True
桂枝汤	evidence_gated_vs_ungated_union	AKR1B10	21	22	1	1	False
桂枝汤	evidence_gated_vs_ungated_union	ALB	17	17	0	0	False
桂枝汤	evidence_gated_vs_ungated_union	ALOX5	38	43	5	5	False
桂枝汤	evidence_gated_vs_ungated_union	APP	32	37	5	5	False
桂枝汤	evidence_gated_vs_ungated_union	BACE1	36	41	5	5	False
桂枝汤	evidence_gated_vs_ungated_union	BDKRB2	56	56	0	0	False
桂枝汤	evidence_gated_vs_ungated_union	CCL2	57	57	0	0	False
桂枝汤	evidence_gated_vs_ungated_union	CD14	58	58	0	0	False
桂枝汤	evidence_gated_vs_ungated_union	CHAT	49	47	-2	2	False
桂枝汤	evidence_gated_vs_ungated_union	CHRNA7	29	31	2	2	False
桂枝汤	evidence_gated_vs_ungated_union	CNTF	50	48	-2	2	False
桂枝汤	evidence_gated_vs_ungated_union	CRP	51	49	-2	2	False
桂枝汤	evidence_gated_vs_ungated_union	CYP19A1	5	10	5	5	True
桂枝汤	evidence_gated_vs_ungated_union	CYP1A2	31	36	5	5	False
桂枝汤	evidence_gated_vs_ungated_union	CYP1B1	23	25	2	2	False
桂枝汤	evidence_gated_vs_ungated_union	CYP2B6	40	45	5	5	False
桂枝汤	evidence_gated_vs_ungated_union	CYP2C19	28	30	2	2	False
桂枝汤	evidence_gated_vs_ungated_union	CYP2C9	30	32	2	2	False
桂枝汤	evidence_gated_vs_ungated_union	CYP3A4	33	38	5	5	False
桂枝汤	evidence_gated_vs_ungated_union	DCX	59	59	0	0	False
桂枝汤	evidence_gated_vs_ungated_union	DPP4	42	52	10	10	False
桂枝汤	evidence_gated_vs_ungated_union	EGF	60	60	0	0	False
桂枝汤	evidence_gated_vs_ungated_union	EPO	61	61	0	0	False
桂枝汤	evidence_gated_vs_ungated_union	ESR1	20	21	1	1	False
桂枝汤	evidence_gated_vs_ungated_union	ESR2	14	14	0	0	False
桂枝汤	evidence_gated_vs_ungated_union	GAP43	62	62	0	0	False
桂枝汤	evidence_gated_vs_ungated_union	GCLC	63	63	0	0	False
桂枝汤	evidence_gated_vs_ungated_union	GCLM	64	64	0	0	False
桂枝汤	evidence_gated_vs_ungated_union	GFAP	52	50	-2	2	False
桂枝汤	evidence_gated_vs_ungated_union	GLI1	35	40	5	5	False
桂枝汤	evidence_gated_vs_ungated_union	GPBAR1	18	19	1	1	False
桂枝汤	evidence_gated_vs_ungated_union	GSDMD	65	65	0	0	False
桂枝汤	evidence_gated_vs_ungated_union	HCAR2	24	26	2	2	False
桂枝汤	evidence_gated_vs_ungated_union	HDAC6	15	15	0	0	False
桂枝汤	evidence_gated_vs_ungated_union	HMGB1	43	53	10	10	False
桂枝汤	evidence_gated_vs_ungated_union	HSD11B1	3	1	-2	2	True
桂枝汤	evidence_gated_vs_ungated_union	HSD11B2	7	4	-3	3	True
桂枝汤	evidence_gated_vs_ungated_union	HSD17B1	22	24	2	2	False
桂枝汤	evidence_gated_vs_ungated_union	HSD17B2	16	16	0	0	False
桂枝汤	evidence_gated_vs_ungated_union	IL10	66	66	0	0	False
桂枝汤	evidence_gated_vs_ungated_union	IL2	2	13	11	11	False
桂枝汤	evidence_gated_vs_ungated_union	LIF	67	67	0	0	False
桂枝汤	evidence_gated_vs_ungated_union	MAOA	34	39	5	5	False
桂枝汤	evidence_gated_vs_ungated_union	MAOB	6	11	5	5	False
