formula	comparison	target	gated_rank	comparator_rank	signed_displacement	absolute_displacement	shared_top10
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	CHRNA7	21	21	0	0	False
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	CYP19A1	2	14	12	12	False
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	CYP1B1	18	17	-1	1	False
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	ESR1	16	15	-1	1	False
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	ESR2	11	9	-2	2	False
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	HDAC6	12	10	-2	2	False
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	HMGB1	27	27	0	0	False
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	HSD11B1	1	2	1	1	True
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	HSD11B2	4	1	-3	3	True
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	HSD17B1	17	16	-1	1	False
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	HSD17B2	14	12	-2	2	False
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	IL2	20	19	-1	1	False
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	MAOA	23	23	0	0	False
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	MAOB	3	20	17	17	False
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP1	9	7	-2	2	True
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP13	8	6	-2	2	True
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP2	6	4	-2	2	True
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP3	10	8	-2	2	True
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP7	5	3	-2	2	True
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP9	7	5	-2	2	True
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	NLRP3	15	13	-2	2	False
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	P4HB	25	25	0	0	False
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	PSMB5	19	18	-1	1	False
四君子汤	evidence_gated_vs_cutoff_chembl_measured_only	TDP1	26	26	0	0	False
六君子汤	evidence_gated_vs_ungated_union	ABCB1	23	13	-10	10	False
六君子汤	evidence_gated_vs_ungated_union	ABCG2	4	9	5	5	True
六君子汤	evidence_gated_vs_ungated_union	AGRP	35	35	0	0	False
六君子汤	evidence_gated_vs_ungated_union	AKR1B1	15	16	1	1	False
六君子汤	evidence_gated_vs_ungated_union	APP	26	27	1	1	False
六君子汤	evidence_gated_vs_ungated_union	ARHGAP11A	36	36	0	0	False
六君子汤	evidence_gated_vs_ungated_union	BACE1	28	29	1	1	False
六君子汤	evidence_gated_vs_ungated_union	CALM1	31	32	1	1	False
六君子汤	evidence_gated_vs_ungated_union	CHRNA7	24	25	1	1	False
六君子汤	evidence_gated_vs_ungated_union	CYP19A1	3	8	5	5	True
六君子汤	evidence_gated_vs_ungated_union	CYP1B1	21	23	2	2	False
六君子汤	evidence_gated_vs_ungated_union	DCP1A	37	37	0	0	False
六君子汤	evidence_gated_vs_ungated_union	DICER1	38	38	0	0	False
六君子汤	evidence_gated_vs_ungated_union	ESR1	19	21	2	2	False
六君子汤	evidence_gated_vs_ungated_union	ESR2	13	14	1	1	False
六君子汤	evidence_gated_vs_ungated_union	GDF15	39	39	0	0	False
六君子汤	evidence_gated_vs_ungated_union	GDNF	40	40	0	0	False
六君子汤	evidence_gated_vs_ungated_union	GSK3B	33	34	1	1	False
六君子汤	evidence_gated_vs_ungated_union	HDAC6	14	15	1	1	False
六君子汤	evidence_gated_vs_ungated_union	HMGB1	32	33	1	1	False
六君子汤	evidence_gated_vs_ungated_union	HSD11B1	2	1	-1	1	True
六君子汤	evidence_gated_vs_ungated_union	HSD11B2	6	2	-4	4	True
六君子汤	evidence_gated_vs_ungated_union	HSD17B1	20	22	2	2	False
六君子汤	evidence_gated_vs_ungated_union	HSD17B2	16	17	1	1	False
六君子汤	evidence_gated_vs_ungated_union	IL2	1	12	11	11	False
六君子汤	evidence_gated_vs_ungated_union	IL22RA1	41	41	0	0	False
六君子汤	evidence_gated_vs_ungated_union	JAK1	42	42	0	0	False
六君子汤	evidence_gated_vs_ungated_union	KDM1A	25	26	1	1	False
六君子汤	evidence_gated_vs_ungated_union	MAOA	27	28	1	1	False
六君子汤	evidence_gated_vs_ungated_union	MAOB	5	10	5	5	True
六君子汤	evidence_gated_vs_ungated_union	MMP1	11	7	-4	4	False
六君子汤	evidence_gated_vs_ungated_union	MMP13	10	6	-4	4	True
六君子汤	evidence_gated_vs_ungated_union	MMP2	8	3	-5	5	True
六君子汤	evidence_gated_vs_ungated_union	MMP3	12	11	-1	1	False
六君子汤	evidence_gated_vs_ungated_union	MMP7	7	4	-3	3	True
六君子汤	evidence_gated_vs_ungated_union	MMP9	9	5	-4	4	True
六君子汤	evidence_gated_vs_ungated_union	NLRP3	18	20	2	2	False
六君子汤	evidence_gated_vs_ungated_union	NPY	43	43	0	0	False
六君子汤	evidence_gated_vs_ungated_union	P4HB	29	30	1	1	False
六君子汤	evidence_gated_vs_ungated_union	PINK1	44	44	0	0	False
六君子汤	evidence_gated_vs_ungated_union	PIWIL2	45	45	0	0	False
六君子汤	evidence_gated_vs_ungated_union	PIWIL4	46	46	0	0	False
六君子汤	evidence_gated_vs_ungated_union	PKM	17	18	1	1	False
六君子汤	evidence_gated_vs_ungated_union	POMC	47	47	0	0	False
六君子汤	evidence_gated_vs_ungated_union	PSMB5	22	24	2	2	False
六君子汤	evidence_gated_vs_ungated_union	SAA1	48	48	0	0	False
六君子汤	evidence_gated_vs_ungated_union	TDP1	30	31	1	1	False
六君子汤	evidence_gated_vs_ungated_union	TLR2	49	49	0	0	False
六君子汤	evidence_gated_vs_ungated_union	TLR4	50	50	0	0	False
六君子汤	evidence_gated_vs_ungated_union	TNF	34	19	-15	15	False
六君子汤	evidence_gated_vs_ungated_union	TRH	51	51	0	0	False
六君子汤	evidence_gated_vs_ungated_union	XCL1	52	52	0	0	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	ABCB1	23	23	0	0	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	ABCG2	4	19	15	15	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	AKR1B1	15	11	-4	4	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	APP	26	26	0	0	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	BACE1	28	28	0	0	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	CALM1	31	31	0	0	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	CHRNA7	24	24	0	0	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	CYP19A1	3	15	12	12	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	CYP1B1	21	18	-3	3	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	ESR1	19	16	-3	3	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	ESR2	13	9	-4	4	False
